Age,Gender,Education_Level,Facebook_Time,Instagram_Time,TikTok_Time,YouTube_Time,Usage_Period,Emotion,Sleep_Quality
53,Female,High School,2.6,,1.2,1.4,Evening,Happy,GOOD
43,Female,High School,2.7,2.5,4.4,2.2,Late Night,Happy,poor
29,Female,Bachelor,4.8,0.4,2.5,5.5,Evening,Anxious,Good
57,Male,Bachelor,3.7,3.3,5.9,,Morning,Anxious,GOOD
22,Female,Bachelor,4.7,2.4,4.4,0.9, ,Sad,Good
35,Female,master,2.6,2.8,5.6,2.7,Evening,Neutral, Fair 
53,Male,Doctorate,1.9,2.3,4.9,1.4,late night,,Good
33,mal,High School,4.5,2.9,4.4,4.0,Evening,, Fair 
37,Female,High School,2.5,0.4,4.9,1.1,Afternoon,,poor
25,Female,Bachelor,1.9,3.9,3.0,5.2,Morning,Sad, Fair 
25,femail,Bachelor,3.5,2.0,0.4,3.4,Afternoon,Anxious, Fair 
38,Female,High School,3.9,3.3,1.0,2.8,Afternoon,Sad,None
50,Male,High School,3.5,1.8,1.0,6.0,late night,,GOOD
54,Male,Bachelor,4.2,3.1,missing,3.4,Morning,Neutral,GOOD
38,Female,master,2.9,1.2,1.0,1.3,Morning,Happy,poor
17,Male,High School,2.6,2.8,missing,4.3,Morning,Anxious,poor
36,Female,master,2.7,0.2,1.7,3.6,Morning,Anxious,GOOD
16,femail,Bachelor,1.9,2.1,1.7,2.2,Morning,Sad,None
38,Male,High School,2.5,3.2,1.5,,late night,Anxious,GOOD
58,Male,Bachelor,3.5,1.2,3.5,2.2,Evening,,None
44,Male,High School,2.4,0.7,missing,1.2,Afternoon,,poor
52,mal,Bachelor,0.3,2.1,0.9,6.0,Morning,Sad,Good
16,Male,High School,4.2,2.4,4.0,2.4,Evening,,poor
35,Female,High School,0.7,1.2,5.9,4.0,Evening,Neutral,poor
47,Male,Bachelor,0.3,1.6,4.9,4.5,Afternoon,Sad, Fair 
26,Male,High School,1.2,2.9,4.4,0.1,late night,Neutral, Fair 
36,Male,High School,4.5,1.6,4.4,5.8,Late Night,Happy, Fair 
58,Male,Bachelor,4.3,1.8,5.6,0.1,Late Night,Neutral, Fair 
